from,to,prob,spc,forward_from_sources,backward_to_sinks
"('合作', '知识协作类')","('测量', '知识重构类')",1.0,58,2,29
"('证明', '成果影响类')","('确保', '成果影响类')",0.25,52,52,1
"('比较', '知识整合类')","('学习', '知识整合类')",0.5,49,1,49
"('跟随', '知识协作类')","('学习', '知识整合类')",1.0,49,1,49
"('列为', '成果影响类')","('评为', '成果影响类')",1.0,49,1,49
"('研究', '知识规划类')","('学习', '知识整合类')",0.5,49,1,49
"('出版', '成果发布类')","('选择', '成果影响类')",1.0,48,1,48
"('评为', '成果影响类')","('获取', '成果影响类')",0.5,48,1,48
"('选择', '成果影响类')","('获取', '成果影响类')",1.0,48,1,48
"('用于', '知识重构类')","('汇报', '成果发布类')",1.0,45,1,45
"('指导', '知识协作类')","('计算', '知识重构类')",0.2222222222222222,45,15,3
"('指导', '知识协作类')","('研制', '知识重构类')",0.1111111111111111,45,15,3
"('表明', '知识重构类')","('研究', '知识重构类')",0.1666666666666667,44,44,1
"('掌握', '知识整合类')","('改进', '知识重构类')",1.0,39,1,39
"('帮助', '知识协作类')","('掌握', '知识整合类')",0.3333333333333333,39,1,39
"('借助', '资源获取类')","('改进', '知识重构类')",0.5,39,1,39
"('完成', '成果发布类')","('成为', '成果影响类')",0.5,38,38,1
"('获取', '成果发布类')","('通过', '成果影响类')",0.25,37,37,1
"('试验', '知识重构类')","('判断', '知识重构类')",0.06666666666666667,37,37,1
"('预测', '知识重构类')","('认为', '知识重构类')",0.5,37,1,37
"('获取', '成果发布类')","('具有', '成果影响类')",0.25,37,37,1
"('确定', '知识规划类')","('讨论', '知识协作类')",0.1666666666666667,36,18,2
"('分享', '知识协作类')","('处理', '知识重构类')",1.0,35,1,35
"('撰写', '知识重构类')","('分享', '知识协作类')",1.0,35,1,35
"('借助', '资源获取类')","('训练', '知识重构类')",0.5,34,1,34
"('训练', '知识重构类')","('采用', '资源获取类')",1.0,34,1,34
"('自创', '知识重构类')","('采用', '资源获取类')",1.0,34,1,34
"('克服', '知识重构类')","('采用', '资源获取类')",1.0,34,1,34
"('找到', '知识重构类')","('采用', '资源获取类')",0.5,34,1,34
"('参加', '知识协作类')","('采用', '资源获取类')",0.25,34,1,34
"('减小', '知识重构类')","('自创', '知识重构类')",0.5,34,1,34
"('了解', '知识重构类')","('采用', '资源获取类')",0.5,34,1,34
"('激发', '知识协作类')","('采用', '资源获取类')",1.0,34,1,34
"('提出', '成果发布类')","('解决', '成果影响类')",0.2,33,33,1
"('设计', '知识重构类')","('研制', '知识重构类')",0.3333333333333333,30,10,3
"('分成', '知识规划类')","('生长', '资源获取类')",1.0,29,1,29
"('研究', '知识规划类')","('分成', '知识规划类')",0.5,29,1,29
"('认为', '知识协作类')","('测量', '知识重构类')",1.0,29,1,29
"('生长', '资源获取类')","('测量', '知识重构类')",1.0,29,1,29
"('添加', '知识重构类')","('测量', '知识重构类')",0.3333333333333333,29,1,29
"('组织', '知识协作类')","('开展', '知识重构类')",0.1428571428571428,28,4,7
"('求解', '知识重构类')","('证明', '知识重构类')",0.4,24,2,12
"('汇报', '成果发布类')","('发表', '成果发布类')",0.5,24,3,8
"('讨论', '知识重构类')","('整理', '知识整合类')",1.0,21,1,21
"('翻译', '知识整合类')","('整理', '知识整合类')",1.0,21,1,21
"('整理', '知识整合类')","('撰写', '成果发布类')",0.25,18,2,9
"('建议', '知识规划类')","('研究', '知识重构类')",0.2,18,18,1
"('开发', '知识重构类')","('观察', '知识重构类')",1.0,17,1,17
"('调节', '知识重构类')","('观察', '知识重构类')",0.5,17,1,17
"('找到', '知识重构类')","('观察', '知识重构类')",0.5,17,1,17
"('了解', '知识整合类')","('准备', '知识规划类')",1.0,17,1,17
"('结合', '知识重构类')","('观察', '知识重构类')",1.0,17,1,17
"('准备', '知识规划类')","('观察', '知识重构类')",1.0,17,1,17
"('采用', '知识重构类')","('发表', '成果发布类')",0.2,16,2,8
"('整理', '知识整合类')","('发表', '成果发布类')",0.25,16,2,8
"('改造', '知识重构类')","('发表', '成果发布类')",0.5,16,2,8
"('提供', '成果发布类')","('发表', '成果发布类')",0.5,16,2,8
