from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('确定', '知识重构类')","('递交', '知识协作类')",1.0,0.002517257724644727,12,0.030207092695736727,2,6
"('采用', '资源获取类')","('研制', '知识重构类')",0.1,0.01860746576339386,16,0.029771945221430174,16,1
"('指导', '知识协作类')","('带领', '知识协作类')",0.3333333333333333,0.005134983967632521,16,0.027386581160706778,8,2
"('试验', '知识重构类')","('说明', '知识重构类')",0.1111111111111111,0.01427454591026196,17,0.026963031163828144,17,1
"('继续', '知识重构类')","('获取', '知识重构类')",1.0,0.003690397358677942,7,0.025832781510745594,1,7
"('判断', '知识重构类')","('确定', '知识重构类')",0.5,0.003994319043450827,12,0.023965914260704962,2,6
"('改造', '知识重构类')","('继续', '知识重构类')",1.0,0.003377323797058345,7,0.023641266579408415,1,7
"('安排', '知识规划类')","('带领', '知识协作类')",0.5,0.005813810635277922,8,0.02325524254111169,4,2
"('提供', '资源获取类')","('提出', '知识重构类')",0.3333333333333333,0.004981535711038727,14,0.023247166651514058,14,1
"('列为', '成果影响类')","('评为', '成果影响类')",1.0,0.002778593567203182,8,0.022228748537625458,1,8
"('中止', '知识重构类')","('改造', '知识重构类')",1.0,0.003009001959860461,7,0.02106301371902323,1,7
"('确保', '知识规划类')","('获取', '资源获取类')",1.0,0.002597610647317389,8,0.020780885178539113,2,4
"('旁听', '知识协作类')","('讨论', '知识协作类')",1.0,0.003365923809509812,6,0.020195542857058872,2,3
"('选择', '成果影响类')","('获取', '成果影响类')",1.0,0.002813304336859137,7,0.01969313035801396,1,7
"('列举', '知识重构类')","('比较', '知识重构类')",1.0,0.001933639163239578,10,0.01933639163239578,1,10
"('开辟', '成果影响类')","('列为', '成果影响类')",0.5,0.004609226908272627,8,0.01843690763309051,1,8
"('分离', '知识重构类')","('中止', '知识重构类')",1.0,0.002575682151393931,7,0.018029775059757516,1,7
"('起到', '成果影响类')","('发表', '成果发布类')",1.0,0.003001821742201253,6,0.018010930453207518,1,6
"('吸引', '成果影响类')","('旁听', '知识协作类')",1.0,0.002995590209803477,6,0.017973541258820863,2,3
"('评为', '成果影响类')","('获取', '成果影响类')",0.5,0.004929039368651654,7,0.01725163779028079,1,7
"('撰写', '知识整合类')","('讲课', '知识协作类')",1.0,0.002830178400543707,6,0.016981070403262244,1,6
