from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('提高', '知识重构类')","('开展', '知识规划类')",0.3333333333333333,0.003599090491212483,720,0.8637817178909959,2,360
"('测验', '知识重构类')","('添加', '知识重构类')",0.5,0.003169927476770233,540,0.8558804187279629,1,540
"('指导', '知识协作类')","('研读', '知识整合类')",0.1111111111111111,0.01030883317584295,735,0.8418880426938408,15,49
"('引用', '知识重构类')","('选择', '知识重构类')",1.0,0.001347331787509911,611,0.8232197221685557,1,611
"('配备', '资源获取类')","('支持', '资源获取类')",0.5,0.003198125954080833,512,0.8187202442446933,1,512
"('确保', '知识重构类')","('试验', '知识重构类')",1.0,0.001819694466389696,441,0.8024852596778559,1,441
"('推动', '知识重构类')","('深化', '知识重构类')",0.5,0.003109068437948082,512,0.795921520114709,1,512
"('要求', '知识规划类')","('指导', '知识协作类')",0.5,0.001702371116972746,919,0.7822395282489768,1,919
"('改造', '资源获取类')","('试验', '知识重构类')",1.0,0.00173495445668032,441,0.7651149153960212,1,441
"('成功', '成果影响类')","('排除', '成果影响类')",1.0,0.001772723500145852,419,0.742771146561112,419,1
"('看见', '知识重构类')","('获取', '知识重构类')",0.5,0.002474332892855732,592,0.7324025362852967,2,296
"('支持', '资源获取类')","('参加', '知识重构类')",0.5,0.002834319753848581,512,0.7255858569852367,1,512
"('认为', '知识重构类')","('计算', '知识重构类')",0.1666666666666667,0.007858391239196514,549,0.7190427983864812,183,3
"('提供', '知识重构类')","('表明', '知识重构类')",0.25,0.004150889574701989,675,0.7004626157309606,5,135
"('测验', '知识重构类')","('试验', '知识重构类')",0.5,0.003169927476770233,441,0.6989690086278364,1,441
"('递交', '成果发布类')","('提出', '成果发布类')",1.0,0.001330401381566729,525,0.6984607253225328,1,525
"('减敏', '知识重构类')","('试验', '知识重构类')",1.0,0.001515249295362167,441,0.6682249392547156,1,441
"('采用', '知识重构类')","('证明', '成果影响类')",0.2,0.006371997469458257,522,0.665236535811442,2,261
"('发现', '知识重构类')","('计算', '知识重构类')",0.05882352941176471,0.01850792364471343,600,0.6532208345192976,200,3
"('发现', '知识重构类')","('研制', '知识重构类')",0.05882352941176471,0.01850792364471343,600,0.6532208345192976,200,3
"('组装', '知识重构类')","('产生', '知识重构类')",0.5,0.002578988903872153,489,0.6305627869967414,1,489
